Date,Bangkok,Kanchanaburi,Kamphaeng Phet,Khon Kaen,Chanthaburi,Chachoengsao,Chonburi,Trang,Trat,Tak,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Si Thammarat,Nakhon Sawan,Nonthaburi,Narathiwat,Nan,Buriram,Pathum Thani,Prachuap Khiri Khan,Prachinburi,Phra Nakhon Si Ayutthaya,Phayao,Phichit,Phitsanulok,Phuket,Mukdahan,Yala,Rayong,Ratchaburi,Lopburi,Lampang,Lamphun,Sakon Nakhon,Songkhla,Satun,Samut Prakan,Samut Songkhram,Samut Sakhon,Saraburi,Sa Kaeo,Suphan Buri,Surat Thani,Sukhothai,Nong Khai,Udon Thani,Uttaradit,Uthai Thani,Ubon Ratchathani,Chiang Rai,ChiangMai,Phetchabun,Loei,Mae Hong Son,Phrae
2018-01-01,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,17.5,,,,,,,,,,,,,,,,
2018-01-02,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,22.5,,,,,,,,,,,,,,,,
2018-01-03,18.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,30.0,,,,,,,,,,,,,,,,
2018-01-04,20.58333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,39.5,,,,,,,,,,,,,,,,
2018-01-05,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,36.0,,,,,,,,,,,,,,,,
2018-01-06,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,24.5,,,,,,,,,,,,,,,,
2018-01-07,6.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,9.0,,,,,,,,,,,,,,,,
2018-01-08,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,5.0,,,,,,,,,,,,,,,,
2018-01-09,8.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,6.0,,,,,,,,,,,,,,,,
2018-01-10,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,13.0,,,,,,,,,,,,,,,,
2018-01-11,14.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,25.0,,,,,,,,,,,,,,,,
2018-01-12,16.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,29.0,,,,,,,,,,,,,,,,
2018-01-13,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,32.5,,,,,,,,,,,,,,,,
2018-01-14,21.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,30.5,,,,,,,,,,,,,,,,
2018-01-15,25.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,40.0,,,,,,,,,,,,,,,,
2018-01-16,29.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,46.5,,,,,,,,,,,,,,,,
2018-01-17,39.58333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,57.0,,,,,,,,,,,,,,,,
2018-01-18,27.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,,52.5,,,,,,,,,,,,,,,,
2018-01-19,27.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,52.5,,,,,,,,,,,,,,,,
2018-01-20,23.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,,41.5,,,,,,,,,,,,,,,,
2018-01-21,32.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,,54.0,,,,,,,,,,,,,,,,
2018-01-22,38.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,55.5,,,,,,,,,,,,,,,,
2018-01-23,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,40.5,,,,,,,,,,,,,,,,
2018-01-24,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,37.0,,,,,,,,,,,,,,,,
2018-01-25,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,12.5,,,,,,,,,,,,,,,,
2018-01-26,9.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,6.5,,,,,,,,,,,,,,,,
2018-01-27,8.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,6.0,,,,,,,,,,,,,,,,
2018-01-28,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,6.0,,,,,,,,,,,,,,,,
2018-01-29,8.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,7.0,,,,,,,,,,,,,,,,
2018-01-30,8.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,7.0,,,,,,,,,,,,,,,,
2018-01-31,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,6.5,,,,,,,,,,,,,,,,
2018-02-01,13.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,11.5,,,,,,,,,,,,,,,,
2018-02-02,21.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,29.5,,,,,,,,,,,,,,,,
2018-02-03,18.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,34.5,,,,,,,,,,,,,,,,
2018-02-04,21.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,42.0,,,,,,,,,,,,,,,,
2018-02-05,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,52.0,,,,,,,,,,,,,,,,
2018-02-06,18.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,45.0,,,,,,,,,,,,,,,,
2018-02-07,29.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,57.5,,,,,,,,,,,,,,,,
2018-02-08,32.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,30.5,,,,,,,,,,,,,,,,
2018-02-09,16.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,19.5,,,,,,,,,,,,,,,,
2018-02-10,15.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,18.0,,,,,,,,,,,,,,,,
2018-02-11,16.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,19.0,,,,,,,,,,,,,,,,
2018-02-12,18.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,25.5,,,,,,,,,,,,,,,,
2018-02-13,21.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,33.5,,,,,,,,,,,,,,,,
2018-02-14,31.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,49.5,,,,,,,,,,,,,,,,
2018-02-15,25.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,32.0,,,,,,,,,,,,,,,,
2018-02-16,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,23.0,,,,,,,,,,,,,,,,
